Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
89.93276977539062,-89.80672454833984,93.56420135498047,-93.96200561523438,-90.04659271240234,0.003299128729850054
89.86978912353516,-89.740966796875,93.45408630371094,-94.04301452636719,-90.09180450439453,0.003668820485472679
89.80680084228516,-89.67552185058594,93.34391021728516,-94.12374877929688,-90.13703918457031,0.00407659076154232
89.74382019042969,-89.61039733886719,93.23368072509766,-94.20419311523438,-90.18228912353516,0.004514023661613464
89.68084716796875,-89.54559326171875,93.12340545654297,-94.28433227539062,-90.22754669189453,0.00497603602707386
89.6178970336914,-89.48110961914062,93.01309967041016,-94.36416625976562,-90.2728042602539,0.005460795480757952
89.55496978759766,-89.41693115234375,92.90276336669922,-94.44369506835938,-90.31805419921875,0.005969274789094925
89.49207305908203,-89.35303497314453,92.79241943359375,-94.52291870117188,-90.36329650878906,0.006504976190626621
89.42921447753906,-89.2894058227539,92.68206787109375,-94.60185241699219,-90.40853118896484,0.007073279935866594
89.36639404296875,-89.22602844238281,92.57171630859375,-94.68051147460938,-90.45375061035156,0.007681015878915787
89.30361938476562,-89.16287231445312,92.46138000488281,-94.7589111328125,-90.49896240234375,0.00833593774586916
89.24089813232422,-89.09991455078125,92.35105895996094,-94.83706665039062,-90.54415893554688,0.009046190418303013
89.17823028564453,-89.0371322631836,92.24076080322266,-94.91500091552734,-90.58934783935547,0.00982008408755064
89.11561584472656,-88.97450256347656,92.13048553466797,-94.99272155761719,-90.634521484375,0.010665696114301682
89.05305480957031,-88.91200256347656,92.02023315429688,-95.07025146484375,-90.6796875,0.011590772308409214
88.99055480957031,-88.84961700439453,91.9100112915039,-95.1476058959961,-90.72484588623047,0.012602539733052254
88.92810821533203,-88.78732299804688,91.79981994628906,-95.22480010986328,-90.7699966430664,0.013707580976188183
88.86572265625,-88.72511291503906,91.68966674804688,-95.30184936523438,-90.81513977050781,0.014911946840584278
88.80339813232422,-88.6629638671875,91.57954406738281,-95.37875366210938,-90.86028289794922,0.016221025958657265
88.74113464355469,-88.60086822509766,91.4694595336914,-95.45553588867188,-90.90542602539062,0.01763957552611828
88.6789321899414,-88.538818359375,91.35940551757812,-95.53219604492188,-90.95056915283203,0.019171856343746185
88.61679077148438,-88.476806640625,91.2493896484375,-95.60874938964844,-90.99571228027344,0.020821571350097656
88.5547103881836,-88.41482543945312,91.13941192626953,-95.68519592285156,-91.04085540771484,0.022591928020119667
88.49269104003906,-88.35285949707031,91.02947235107422,-95.76154327392578,-91.08599853515625,0.024485735222697258
88.43073272705078,-88.29090881347656,90.91957092285156,-95.8377914428711,-91.13114929199219,0.026505406945943832
88.36884307861328,-88.22897338867188,90.80970001220703,-95.91395568847656,-91.17630004882812,0.02865302748978138
88.30701446533203,-88.16704559326172,90.69986724853516,-95.99002838134766,-91.2214584350586,0.0309302918612957
88.24524688720703,-88.10511779785156,90.59007263183594,-96.0660171508789,-91.26661682128906,0.03333870694041252
